,city_name,temperature,humidity,cloudiness,wind_speed,long,lati,country
0,Mt. Pleasant,68.0,95,0,1.99,-79.8626,32.7941,US
1,Kalispell,45.28,76,100,5.99,-114.3129,48.1958,US
2,Uvat,31.5,69,91,7.36,68.8953,59.1433,RU
3,Bredasdorp,53.47,72,66,5.28,20.0403,-34.5322,ZA
4,Karratha,89.47,31,5,14.72,116.8463,-20.7377,AU
5,College,53.55,30,75,4.61,-147.8028,64.8569,US
6,Busselton,71.73,45,38,9.19,115.3333,-33.65,AU
7,Castro,62.67,90,100,1.74,-50.0119,-24.7911,BR
8,Khorixas,63.99,51,1,2.82,14.9667,-20.3667,NA
9,Tiksi,9.68,89,100,4.07,128.8694,71.6872,RU
10,Norman Wells,36.73,91,35,7.92,-126.8329,65.282,CA
11,Alofi,79.86,72,28,6.64,-169.9187,-19.0595,NU
12,Puerto Ayora,71.92,91,70,5.97,-90.3518,-0.7393,EC
13,Airai,75.22,43,18,3.38,125.4092,-8.9266,TL
14,Cherskiy,22.19,77,100,3.33,161.3,68.75,RU
15,Hermanus,56.28,67,18,2.8,19.2345,-34.4187,ZA
16,Nikolskoye,37.87,83,100,9.08,30.7861,59.7035,RU
17,Livingston,44.47,90,40,11.5,-3.5226,55.9029,GB
18,Mar del Plata,60.87,78,75,11.5,-57.5575,-38.0023,AR
19,Kapaa,78.78,82,100,16.11,-159.319,22.0752,US
20,Dalnerechensk,56.77,37,69,18.3,133.7225,45.9339,RU
21,Ranong,88.02,61,63,1.52,98.6348,9.9658,TH
22,Noumea,77.0,99,99,16.98,166.4572,-22.2763,NC
23,Santa Ana,71.56,50,0,5.75,-117.8678,33.7456,US
24,Sesheke,64.42,66,67,3.0,24.2968,-17.4759,ZM
25,Loukhi,30.78,96,97,3.96,33.0381,66.0764,RU
26,Mataura,53.47,90,97,8.99,168.8643,-46.1927,NZ
27,Fort Nelson,36.21,100,91,2.35,-122.7002,58.8053,CA
28,St. George's,77.11,76,12,11.74,-61.7485,12.0564,GD
29,São José do Belmonte,70.9,85,100,3.36,-38.7597,-7.8614,BR
30,Minyar,43.97,64,52,1.57,57.5485,55.0709,RU
31,Albany,48.63,57,100,2.01,-73.9662,42.6001,US
32,Port Alfred,58.17,96,23,10.38,26.891,-33.5906,ZA
33,Rawson,56.39,41,0,19.6,-65.1023,-43.3002,AR
34,Barrow,15.82,86,100,5.75,-156.7887,71.2906,US
35,Umluj,74.7,79,0,2.37,37.2685,25.0213,SA
36,Caravelas,76.41,95,11,5.44,-39.2481,-17.7125,BR
37,Khilok,37.04,22,0,14.45,110.4676,51.3674,RU
38,Kallaste,39.43,91,97,17.11,27.1592,58.655,EE
39,Milagro,50.67,68,99,14.9,-1.764,42.2386,ES
40,Marzuq,68.9,45,44,5.03,46.4667,14.4,YE
41,Tazmalt,52.88,62,6,1.41,4.3989,36.3868,DZ
42,Hobart,65.23,55,20,5.75,147.3294,-42.8794,AU
43,Jhol,93.52,20,60,2.48,68.8882,25.9551,PK
44,Vila Velha,78.94,86,0,13.8,-40.2925,-20.3297,BR
45,Ushuaia,40.66,81,40,10.36,-68.3,-54.8,AR
46,Hilo,79.29,81,100,9.22,-155.09,19.7297,US
47,Honmachi,64.8,96,100,3.09,130.6,32.5,JP
48,Dikson,3.22,95,99,13.44,80.5464,73.5069,RU
49,Port Hardy,45.91,87,100,14.45,-127.4199,50.6996,CA
50,Atuona,79.45,77,60,16.69,-139.0333,-9.8,PF
51,Punta Arenas,42.91,93,75,1.14,-70.9167,-53.15,CL
52,Angoche,74.98,92,100,16.69,39.9086,-16.2325,MZ
53,George Town,85.95,74,40,4.61,100.3354,5.4112,MY
54,Saskylakh,8.98,88,17,4.56,114.0833,71.9167,RU
55,Bluff,53.8,63,92,24.2,168.3333,-46.6,NZ
56,Kokstad,51.12,96,12,3.78,29.4241,-30.5472,ZA
57,Chokurdakh,4.96,89,78,2.84,147.9167,70.6333,RU
58,Aitape,85.86,67,77,7.31,142.3475,-3.1374,PG
59,Tuatapere,50.54,76,100,12.84,167.6833,-46.1333,NZ
60,Jamestown,67.64,56,0,6.91,-79.2353,42.097,US
61,Pa Daet,96.19,42,15,3.85,99.9924,19.5049,TH
62,Newport,49.77,79,100,5.99,-2.9984,51.5877,GB
63,Santa Maria,52.61,80,0,3.94,-53.8069,-29.6842,BR
64,Eyl,81.9,73,31,6.64,49.8164,7.9803,SO
65,Qaqortoq,35.89,99,100,4.07,-46.0333,60.7167,GL
66,Nabire,87.08,61,98,4.38,135.4833,-3.3667,ID
67,Tasiilaq,32.16,88,92,7.85,-37.6368,65.6145,GL
68,Torbay,33.76,93,100,10.0,-52.7314,47.6666,CA
69,Rikitea,75.18,79,100,16.15,-134.9692,-23.1203,PF
70,Cape Town,58.91,72,1,4.0,18.4232,-33.9258,ZA
71,Poronaysk,33.33,95,100,15.23,143.1167,49.2167,RU
72,Butaritari,81.43,78,60,12.62,172.7902,3.0707,KI
73,Ribeira Grande,58.44,69,44,19.8,-28.7,38.5167,PT
74,Bethel,54.43,69,75,3.44,-73.414,41.3712,US
75,Hithadhoo,84.56,72,100,4.72,73.0833,-0.6,MV
76,Iralaya,77.9,84,13,10.07,-83.2333,15.0,HN
77,Aden,82.08,83,0,17.58,45.0367,12.7794,YE
78,Iskateley,11.41,94,100,5.99,53.1512,67.6803,RU
79,Provideniya,33.62,63,95,2.37,-173.3,64.3833,RU
80,Vestmannaeyjar,45.54,88,100,6.44,-20.2734,63.4427,IS
81,Tumaco,76.08,88,19,3.06,-78.8156,1.7986,CO
82,Nacala,73.85,96,100,6.31,40.6728,-14.5428,MZ
83,Khatanga,10.18,91,96,5.86,102.5,71.9667,RU
84,Paignton,51.73,69,100,8.01,-3.5679,50.4357,GB
85,Oromocto,35.71,46,3,10.0,-66.4792,45.8351,CA
86,Hamilton,72.45,64,0,5.75,-84.5333,39.1834,US
87,Masuguru,71.83,98,97,2.15,38.4167,-11.3667,TZ
88,Waipawa,61.63,53,62,6.42,175.5153,-41.4122,NZ
89,Sangar,26.53,88,99,4.12,127.4739,63.9242,RU
90,Saint George,63.63,19,0,16.11,-113.5841,37.1041,US
91,Dodoma,64.08,98,100,3.24,35.7395,-6.1722,TZ
92,Gushikawa,81.63,63,100,12.66,127.8686,26.3544,JP
93,Mackay,79.68,75,46,22.19,149.2,-21.15,AU
94,Upernavik,-1.61,97,61,6.8,-56.1549,72.7868,GL
95,Port Blair,87.84,70,20,9.22,92.75,11.6667,IN
96,Basco,82.29,78,95,14.5,121.9702,20.4487,PH
97,Geraldton,81.01,32,7,11.5,114.6,-28.7667,AU
98,Hualmay,67.24,87,13,7.38,-77.6139,-11.0964,PE
99,Sfântu Gheorghe,49.26,93,51,1.03,25.7833,45.8667,RO
100,Castlebar,48.58,93,0,6.35,-9.3,53.85,IE
101,Gandu,69.84,100,43,1.07,-39.4867,-13.7439,BR
102,Mandeville,66.63,92,100,3.04,-77.5071,18.0417,JM
103,Asha,44.35,64,58,1.68,57.2722,54.9973,RU
104,Pevek,17.78,89,99,1.95,170.3133,69.7008,RU
105,Carnarvon,86.07,39,0,4.61,113.6333,-24.8667,AU
106,Kuching,84.42,79,20,2.3,110.3333,1.55,MY
107,Turukhansk,15.6,86,94,7.09,87.9833,65.8167,RU
108,Yellowknife,26.47,80,11,11.97,-114.3525,62.456,CA
109,Skibbereen,54.1,85,57,10.98,-9.2667,51.55,IE
110,Ust-Tsilma,31.62,96,100,0.18,52.1498,65.441,RU
111,Grindavik,43.27,81,75,1.14,-22.4338,63.8424,IS
112,Jaqué,78.39,82,43,1.3,-78.1703,7.5175,PA
113,Husavik,43.05,77,85,4.56,-17.3389,66.0449,IS
114,Aklavik,31.53,94,89,7.76,-135.0107,68.2191,CA
115,Tari,86.34,30,68,4.99,4.4914,12.4086,NG
116,Mahibadhoo,84.34,70,100,3.09,72.9667,3.7833,MV
117,Lerwick,44.6,75,95,14.34,-1.1494,60.1545,GB
118,Puerto Baquerizo Moreno,71.38,91,88,7.61,-89.6,-0.9,EC
119,Borkenes,34.99,98,25,10.0,16.1739,68.774,NO
120,Thompson,33.87,92,100,14.09,-97.8558,55.7435,CA
121,Shellbrook,34.3,87,97,7.31,-106.4011,53.2168,CA
122,Naushahro Firoz,94.71,22,50,7.34,68.123,26.8424,PK
123,Zlobin,47.16,93,40,13.8,14.6541,45.2924,HR
124,Santa Rosa,91.09,65,6,10.56,121.1114,14.3122,PH
125,Lompoc,61.57,77,0,30.0,-120.4579,34.6391,US
126,Kizema,33.76,93,100,3.42,44.8302,61.113,RU
127,Okhotsk,31.46,86,7,5.93,143.3,59.3833,RU
128,Charters Towers,77.97,61,100,16.71,146.2667,-20.1,AU
129,Tateyama,61.29,88,100,8.79,139.8667,34.9833,JP
130,Vaini,82.56,74,40,4.61,-175.2,-21.2,TO
